Location Name,Address,Cuisine Compatibility,Image URL,Average Store Size (sq ft),Average Lease Rate ($/sq ft),Vacancy Status,Price Range
Capitol Square Mall,"352 N Capitol Ave, San Jose, CA 95133","Casual Dining, Fast Casual Options, American Diners, International Cuisines",https://images1.loopnet.com/i2/8v0iG0Hsnjy1KElv87EjeC8GK2r6lIoWex__hk-NxK8/118/image.jpg,2500.0,3.75,1 vacant spot open,$-$$
Alum Rock Shopping Center,"3100 Alum Rock Ave, San Jose, CA 95127","Casual Dining, Fast Casual, Ethnic Cuisines, Quick-Service Restaurants",https://s3-media0.fl.yelpcdn.com/bphoto/p_3DjzutG1Tzws-jwdoaeg/348s.jpg,2500.0,3.75,1 vacant spot open,$-$$
Japantown,"San Jose, CA 95112","Japanese Cuisines, Casual Dining, Fast Casual Options, Asian Fusion",https://www.japanese-city.com/calendar/events/themes/lib/lid/749.webp,2500.0,3.75,2 vacant spots open,$$-$$$
Almaden Ranch,"5160 Cherry Ave, San Jose, CA 95118","American, Fast Casual, Family Dining",https://lh3.googleusercontent.com/p/AF1QipMZd44t3AOcEkBCGtYaliap_ZjH6c0KjhmBqoBQ=s1360-w1360-h1020,2500.0,3.75,2 vacant spots open,$$
Evergreen Plaza,"4100 Evergreen Village Square, San Jose, CA 95135","Asian, Fast Casual, Healthy Options",https://www.google.com/maps/uv?pb=!1s0x808e2d73e8dc4c85%3A0x8679c26493c2d7f0!3m1!7e115!4s%2Fmaps%2Fplace%2FEvergreen%2BPlaza%2F%4037.315278%2C-121.7913428%2C3a%2C75y%2C352.34h%2C90t%2Fdata%3D*213m4*211e1*213m2*211sFcqtYPcuzm7YBj7h86cNZA*212e0*214m2*213m1*211s0x808e2d73e8dc4c85%3A0x8679c26493c2d7f0%3Fsa%3DX%26ved%3D2ahUKEwij1_qmn8mJAxUeJTQIHexHH8UQpx96BAg4EAA!5sEvergreen%20Plaza%20-%20Google%20Search!15sCgIgAQ&imagekey=!1e10!2sAF1QipPv7tEuIbhk3MzmhZRyrIyIcjie5zyjgnN0IRqF&cr=le_a7&hl=en&ved=1t%3A206134&ictx=111#,2500.0,3.75,Coming Soon!,$-$$
Evergreen Village Square,"4055 Evergreen Village Square, San Jose, CA 95135","Mexican, Casual Dining",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Evergreen_Village_Square_0064_%28cropped%29.jpg/1200px-Evergreen_Village_Square_0064_%28cropped%29.jpg,2500.0,3.75,1 vacant spot open,$$
La Placita Tropicana,"San Jose, CA 95122","Latin American, Casual Dining",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoWNfC5SFpHt8nxz0Ny9hWzGG6-QBubkhWKQ&s,2500.0,3.75,3 vacant spots open,$$-$$$
Lion Plaza,"1816 Tully Rd # 198, San Jose, CA 95122","Asian, Fast Casual, Quick Service",https://lh5.googleusercontent.com/p/AF1QipPyiIGgLVkkOxQWmKGl9k-IGcvRV5D8XqOyhAHv=w520-h350-n-k-no,2500.0,3.75,3 vacant spots open,$-$$$
Monterey Plaza,"5500 Monterey Rd, San Jose, CA 95138","American, Fast Food, Casual Dining",https://images1.loopnet.com/i2/ct5cpW0te0rss8QW3f_xYLrHFITbhiFgYCqUPVeoKJE/112/image.jpg,2500.0,3.75,1 vacant spot open,$$
North Park Plaza,"1712 E Brokaw Rd #1702, San Jose, CA 95131","Diverse Cuisines, Casual Dining",https://lh3.googleusercontent.com/p/AF1QipPXVL7uQPcmAz5ON_2IO9ZpVQBIe8NMgbD5ol64=s1360-w1360-h1020,2500.0,3.75,Coming Soon!,$$-$$$
Paloma Plaza,"Silver Creek Rd, San Jose, CA 95121","Mediterranean, Casual Dining",https://lh3.googleusercontent.com/p/AF1QipPzJRY7-FDSfi2N7Nl6LNgp2Pw60CF4J4DmFoSj=s1360-w1360-h1020,2500.0,3.75,1 vacant spot open,$$$-$$$$
Silver Creek Plaza,"1707 E Capitol Expy, San Jose, CA 95121","Variety of Ethnic Cuisines, Casual Dining",https://images1.loopnet.com/i2/Ng2Wu-seAxBZCtlaIRICut2lPQ5XI1MB5AQ9R7ojoUQ/110/image.png,2500.0,3.75,1 vacant spot open,$$-$$$
