Business Corridor,Address,Day,Date,Foot Traffic Volume
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,5/4/2023,567
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,5/5/2023,1261
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,5/6/2023,2945
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,5/7/2023,3860
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,5/8/2023,2156
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,5/9/2023,2040
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,5/10/2023,1630
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,5/11/2023,680
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,5/12/2023,4168
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,5/13/2023,1681
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,5/14/2023,1454
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,5/15/2023,1471
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,5/16/2023,4305
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,5/17/2023,1463
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,5/18/2023,2305
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,5/19/2023,3655
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,5/20/2023,1031
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,5/21/2023,759
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,5/22/2023,4298
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,5/23/2023,4849
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,5/24/2023,4782
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,5/25/2023,572
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,5/26/2023,4638
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,5/27/2023,2532
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,5/28/2023,4494
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,5/29/2023,3277
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,5/30/2023,4107
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,5/31/2023,1133
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,6/1/2023,2936
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,6/2/2023,1502
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,6/3/2023,2492
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,6/4/2023,2727
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,6/5/2023,1135
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,6/6/2023,634
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,6/7/2023,1211
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,6/8/2023,2534
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,6/9/2023,3108
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,6/10/2023,3062
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,6/11/2023,3220
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,6/12/2023,4789
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,6/13/2023,1270
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,6/14/2023,2676
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,6/15/2023,1181
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,6/16/2023,509
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,6/17/2023,2164
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,6/18/2023,2197
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,6/19/2023,713
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,6/20/2023,4836
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,6/21/2023,3207
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,6/22/2023,3718
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,6/23/2023,4632
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,6/24/2023,2807
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,6/25/2023,2596
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,6/26/2023,583
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,6/27/2023,868
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,6/28/2023,1315
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,6/29/2023,2212
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,6/30/2023,4276
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,7/1/2023,2967
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,7/2/2023,4942
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,7/3/2023,3820
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,7/4/2023,1079
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,7/5/2023,4127
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,7/6/2023,4658
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,7/7/2023,1760
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,7/8/2023,4691
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,7/9/2023,2285
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,7/10/2023,3560
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,7/11/2023,4034
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,7/12/2023,3077
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,7/13/2023,3560
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,7/14/2023,4303
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,7/15/2023,4465
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,7/16/2023,1564
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,7/17/2023,4505
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,7/18/2023,758
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,7/19/2023,1792
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,7/20/2023,1166
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,7/21/2023,1931
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,7/22/2023,633
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,7/23/2023,3928
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,7/24/2023,2527
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,7/25/2023,3851
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,7/26/2023,3266
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,7/27/2023,4177
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,7/28/2023,3698
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,7/29/2023,3316
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,7/30/2023,2281
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,7/31/2023,1639
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,8/1/2023,4087
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,8/2/2023,2977
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,8/3/2023,3407
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,8/4/2023,3148
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,8/5/2023,1385
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,8/6/2023,677
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,8/7/2023,886
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,8/8/2023,2343
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,8/9/2023,773
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,8/10/2023,4743
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,8/11/2023,1583
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,8/12/2023,3593
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,8/13/2023,2537
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,8/14/2023,2786
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,8/15/2023,3688
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,8/16/2023,2710
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,8/17/2023,683
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,8/18/2023,2166
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,8/19/2023,1025
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,8/20/2023,601
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,8/21/2023,1771
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,8/22/2023,2822
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,8/23/2023,1948
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,8/24/2023,4461
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,8/25/2023,4775
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,8/26/2023,1605
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,8/27/2023,4331
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,8/28/2023,4522
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,8/29/2023,4222
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,8/30/2023,1591
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,8/31/2023,1700
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,9/1/2023,3825
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,9/2/2023,3055
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,9/3/2023,2648
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,9/4/2023,4418
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,9/5/2023,4468
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,9/6/2023,4645
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,9/7/2023,2186
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,9/8/2023,3052
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,9/9/2023,2137
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,9/10/2023,1038
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,9/11/2023,740
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,9/12/2023,4070
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,9/13/2023,843
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,9/14/2023,4617
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,9/15/2023,3785
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,9/16/2023,3131
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,9/17/2023,1758
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,9/18/2023,2318
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,9/19/2023,3599
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,9/20/2023,3820
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,9/21/2023,2809
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,9/22/2023,1155
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,9/23/2023,1742
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,9/24/2023,3390
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,9/25/2023,4049
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,9/26/2023,1135
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,9/27/2023,2588
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,9/28/2023,3963
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,9/29/2023,1056
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,9/30/2023,4119
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,10/1/2023,4009
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,10/2/2023,2645
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,10/3/2023,4542
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,10/4/2023,1673
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,10/5/2023,3620
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,10/6/2023,837
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,10/7/2023,3413
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,10/8/2023,2094
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,10/9/2023,4957
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,10/10/2023,2505
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,10/11/2023,2091
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,10/12/2023,620
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,10/13/2023,1182
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,10/14/2023,2934
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,10/15/2023,3994
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,10/16/2023,1378
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,10/17/2023,4346
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,10/18/2023,1717
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,10/19/2023,2713
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,10/20/2023,4112
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,10/21/2023,1112
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,10/22/2023,3201
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,10/23/2023,3044
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,10/24/2023,2478
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,10/25/2023,3241
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,10/26/2023,3647
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,10/27/2023,1208
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,10/28/2023,1129
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,10/29/2023,4455
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,10/30/2023,1808
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,10/31/2023,4965
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,11/1/2023,570
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,11/2/2023,1836
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,11/3/2023,3889
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,11/4/2023,3173
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,11/5/2023,667
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,11/6/2023,3482
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,11/7/2023,1405
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,11/8/2023,3432
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,11/9/2023,512
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,11/10/2023,3008
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,11/11/2023,1307
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,11/12/2023,4106
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,11/13/2023,754
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,11/14/2023,3374
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,11/15/2023,3953
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,11/16/2023,4302
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,11/17/2023,914
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,11/18/2023,2319
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,11/19/2023,756
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,11/20/2023,1964
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,11/21/2023,2565
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,11/22/2023,4177
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,11/23/2023,831
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,11/24/2023,2253
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,11/25/2023,2730
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,11/26/2023,836
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,11/27/2023,3622
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,11/28/2023,2545
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,11/29/2023,2837
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,11/30/2023,1286
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,12/1/2023,2386
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,12/2/2023,2076
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,12/3/2023,2100
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,12/4/2023,3911
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,12/5/2023,4048
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,12/6/2023,4576
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,12/7/2023,2547
